############################################################################
############################################################################
## Description of Variables in Dataset #####################################
############################################################################
############################################################################
## TortID -- Tortoise identification number                               ##
## Date -- Date of capture and sampling                                   ##
## YEAR -- Year of capture and sampling                                   ##
## CL -- Carapace length in millimeters                                   ##
## Sex -- Sex of tortoise (M: Male, F: Female, Juv: Juvenile)             ##
## ELISA -- Result of ELISA test (POSITIVE, negative)                     ##
## SITE -- Study site ID (all data from CF site)                          ##
## status -- Result of ELISA test (1: M. agassizii Positive, 0: Negative) ##
## age -- Equivalent to carapace length                                   ##
############################################################################
############################################################################

TortID Date YEAR CL Sex ELISA SITE status age
CF188 5/29/06 2006 105 Juv negative CF 0 105
CF190 5/23/05 2005 98 Juv negative CF 0 98
CF191 5/23/05 2005 173 Juv POSITIVE CF 1 173
CF192 5/24/05 2005 208 M POSITIVE CF 1 208
CF193 5/27/06 2006 253 M POSITIVE CF 1 253
CF194 5/24/05 2005 115 Juv negative CF 0 115
CF195F 5/25/05 2005 265 F POSITIVE CF 1 265
CF195M 8/6/06 2006 227 M POSITIVE CF 1 227
CF196 5/26/05 2005 270 F POSITIVE CF 1 270
CF197 5/26/05 2005 257 M POSITIVE CF 1 257
CF198 5/6/04 2004 236 M POSITIVE CF 1 236
CF198 7/20/05 2005 232 M POSITIVE CF 1 232
CF198 5/31/05 2005 240 M POSITIVE CF 1 240
CF199 5/31/06 2006 259 M POSITIVE CF 1 259
CF200 5/18/05 2005 263 M POSITIVE CF 1 263
CF201 5/18/05 2005 268 M POSITIVE CF 1 268
CF203 5/28/05 2005 254 F POSITIVE CF 1 254
CF204 5/28/05 2005 228 M POSITIVE CF 1 228
CF204 8/6/06 2006 225 M POSITIVE CF 1 225
CF205 5/28/05 2005 180 Juv negative CF 0 180
CF206 5/28/05 2005 219 F negative CF 0 219
CF207 5/29/05 2005 266 M POSITIVE CF 1 266
CF208 5/29/05 2005 258 M POSITIVE CF 1 258
CF209 5/29/05 2005 117 Juv negative CF 0 117
CF210 5/27/05 2005 283 F POSITIVE CF 1 283
CF211 5/29/05 2005 258 M POSITIVE CF 1 258
CF212 5/29/05 2005 195 Juv POSITIVE CF 1 195
CF212 7/21/05 2005 191 Juv POSITIVE CF 1 191
CF212 5/24/06 2006 189 Juv POSITIVE CF 1 189
CF213 5/29/05 2005 212 M negative CF 0 212
CF213 8/6/06 2006 214 Juv negative CF 0 214
CF214 5/29/05 2005 165 Juv negative CF 0 165
CF215 5/30/05 2005 253 M POSITIVE CF 1 253
CF216 5/30/05 2005 167 Juv negative CF 0 167
CF217 5/31/05 2005 232 Juv POSITIVE CF 1 232
CF217 5/19/06 2006 247 M POSITIVE CF 1 247
CF218 5/30/05 2005 250 M POSITIVE CF 1 250
CF219 6/1/05 2005 259 M POSITIVE CF 1 259
CF219 5/22/06 2006 267 M POSITIVE CF 1 267
CF220 6/1/05 2005 250 M POSITIVE CF 1 250
CF221 6/2/05 2005 225 F negative CF 0 225
CF222 7/20/05 2005 271 M POSITIVE CF 1 271
CF223 7/20/05 2005 117 Juv negative CF 0 117
CF224 7/20/05 2005 251 M POSITIVE CF 1 251
CF225 7/21/05 2005 223 M negative CF 0 223
CF226 7/22/05 2005 201 Juv negative CF 0 201
CF227 7/22/05 2005 131 Juv negative CF 0 131
CF227 5/19/06 2006 137 Juv negative CF 0 137
CF228 7/23/05 2005 236 F POSITIVE CF 1 236
CF228 5/28/06 2006 236 F POSITIVE CF 1 236
CF228 8/6/06 2006 236 F POSITIVE CF 1 236
CF229 7/22/05 2005 113 Juv negative CF 0 113
CF229 8/8/06 2006 122 Juv negative CF 0 122
CF264 5/20/06 2006 245 M negative CF 0 245
CF265 5/20/06 2006 264 M POSITIVE CF 1 264
CF266 5/20/06 2006 137 Juv POSITIVE CF 1 137
CF267 5/21/06 2006 255 M POSITIVE CF 1 255
CF269 5/21/06 2006 109 Juv negative CF 0 109
CF270 5/22/06 2006 267 M POSITIVE CF 1 267
CF272A 5/24/05 2005 249 M POSITIVE CF 1 249
CF272B 5/25/06 2006 212 Juv POSITIVE CF 1 212
CF273 5/25/06 2006 118 Juv negative CF 0 118
CF275 5/26/06 2006 209 Juv POSITIVE CF 1 209
CF276 5/26/06 2006 173 Juv negative CF 0 173
CF277 5/27/06 2006 208 Juv POSITIVE CF 1 208
CF278 5/27/06 2006 253 M POSITIVE CF 1 253
CF279 5/28/06 2006 271 F POSITIVE CF 1 271
CF280 5/29/06 2006 201 F POSITIVE CF 1 201
CF282 5/29/06 2006 260 F POSITIVE CF 1 260
CF283 5/29/06 2006 182 Juv POSITIVE CF 1 182
CF284 5/29/06 2006 109 Juv negative CF 0 109
CF285 5/29/06 2006 253 F POSITIVE CF 1 253
CF286 5/29/06 2006 182 Juv POSITIVE CF 1 182
CF287 5/29/06 2006 255 F POSITIVE CF 1 255
CF287 8/6/06 2006 255 F POSITIVE CF 1 255
CF288 5/29/06 2006 257 M POSITIVE CF 1 257
CF288 8/6/06 2006 257 M POSITIVE CF 1 257
CF289 5/29/06 2006 200 Juv negative CF 0 200
CF289 8/6/06 2006 200 Juv negative CF 0 200
CF290 5/29/06 2006 103 Juv negative CF 0 103
CF291 5/29/06 2006 67 Juv negative CF 0 67
CF292 5/24/06 2006 124 Juv negative CF 0 124
CF293 5/31/06 2006 139 Juv negative CF 0 139
CF294 8/6/06 2006 242 F negative CF 0 242
CF294 6/1/06 2006 242 F negative CF 0 242
CF301 8/6/06 2006 260 F negative CF 0 260
CF302 8/7/06 2006 199 Juv negative CF 0 199
